dataset	genome_coverage	peak_catching	numEnh_ge1Gene	enhGenomeCov
chromhmm.0.E	0.112753363216114	0.567998740866107	232004	0.114621407654815
chromhmm.0.E.fantom	0.116432752256454	0.598411409150315	234921	0.118361755074032
chromhmm.0.E.thurman	0.130994761928058	0.66449158111712	257622	0.133165021240409
chromhmm.0.E.thurman.fantom	0.131938491196533	0.670513601048518	258715	0.134124385769432
chromhmm.0.P2P	0.0252712537141832	0.193547868026149	25914	0.025689935903461
chromhmm.0.P2P.E	0.115695009868277	0.305412433805842	235137	0.117611790118597
chromhmm.0.P2P.E.fantom	0.118590948918361	0.601200472071862	237684	0.120555707718349
chromhmm.0.P2P.E.thurman	0.132014771900292	0.620692050582692	259297	0.134201930255843
chromhmm.0.P2P.E.thurman.fantom	0.13282117912402	0.67319747878633	260298	0.135021697653376
chromhmm.0.P2P.fantom	0.0369283303216934	0.677713055658939	34677	0.0375401414475017
chromhmm.0.P2P.thurman	0.0751247212893953	0.382870604980267	91591	0.0763693521705566
chromhmm.0.P2P.thurman.fantom	0.0784972804823606	0.524507352964851	95226	0.0797977863304843
chromhmm.0.fantom	0.0197263605047566	0.543580781296936	12042	0.0200531775236519
chromhmm.0.thurman	0.0672577378833658	0.446637459182021	77821	0.068372032301101
chromhmm.0.thurman.fantom	0.0718707541324217	0.480433059792275	82180	0.0730614748234306
chromhmm.500.E	0.118931850775283	0.580923100165776	232154	0.12090224197073
chromhmm.500.E.fantom	0.1226375666267	0.611522638001452	235150	0.12466935237119
chromhmm.500.E.thurman	0.137641235325816	0.679087294069533	259055	0.139921592824959
chromhmm.500.E.thurman.fantom	0.138602256399703	0.68510417645138	260198	0.140898535641855
chromhmm.500.P2P	0.0257342004390722	0.194255088254973	26518	0.0261605505727405
chromhmm.500.P2P.E	0.121921237135219	0.312820354859349	235381	0.123941154748176
chromhmm.500.P2P.E.fantom	0.124842314238382	0.614593631514287	238004	0.12691062687639
chromhmm.500.P2P.E.thurman	0.138695445366799	0.634212863841958	260775	0.14099326819669
chromhmm.500.P2P.E.thurman.fantom	0.139518732890564	0.687756074740471	261826	0.141830195559094
chromhmm.500.P2P.fantom	0.0374605326068378	0.692308552347538	35456	0.0380811590704313
chromhmm.500.P2P.thurman	0.0767622174797215	0.390583731284349	95395	0.0780339734245625
chromhmm.500.P2P.thurman.fantom	0.0801792739087621	0.534780176271598	99132	0.0815076420297452
chromhmm.500.fantom	0.019803653289304	0.553983481997459	12245	0.0201317508585279
chromhmm.500.thurman	0.0685749459350733	0.454134591170829	81611	0.0697110612951694
chromhmm.500.thurman.fantom	0.0732368773037823	0.488066019855983	86087	0.074450229339739
chromhmm.dnase.0.E	0.13593514166607	0.716728487306782	682284	0.138187250855279
chromhmm.dnase.0.E.fantom	0.139700048831992	0.749101658802548	686345	0.142014533223971
