ldef	mean_chipenrich_caught	genome_coverage_raymond	n_datasets	genome_coverage_heming	mean_findOverlap_caught	numEnh_ge1Gene	genome_coverage_tingting
chromhmm.0.E	0.105056818356878	0.0509204265233086	297	0.112753363216114	0.567998740866107	232004	0.114621407654815
chromhmm.0.E.fantom	0.267725965529762	0.117706052019677	297	0.116432752256454	0.598411409150315	234921	0.118361755074032
chromhmm.0.E.thurman	0.24299331224642	0.103166831332114	297	0.130994761928058	0.66449158111712	257622	0.133165021240409
chromhmm.0.E.thurman.fantom	0.297781744727378	0.165484668320977	297	0.131938491196533	0.670513601048518	258715	0.134124385769432
chromhmm.0.fantom	0.22770286486891	0.0717293476743499	297	0.0197263605047566	0.543580781296936	12042	0.0200531775236519
chromhmm.0.P2P	0.131427628037048	0.0259566945057437	297	0.0252712537141832	0.193547868026149	25914	0.025689935903461
chromhmm.0.P2P.E	0.200659736325207	0.0732273700969363	297	0.115695009868277	0.305412433805842	235137	0.117611790118597
chromhmm.0.P2P.E.fantom	0.286319244464425	0.138093791036063	297	0.118590948918361	0.601200472071862	237684	0.120555707718349
chromhmm.0.P2P.E.thurman	0.271149931018369	0.123003684179077	297	0.132014771900292	0.620692050582692	259297	0.134201930255843
chromhmm.0.P2P.E.thurman.fantom	0.307013563464118	0.183805819995355	297	0.13282117912402	0.67319747878633	260298	0.135021697653376
chromhmm.0.P2P.fantom	0.254295751816557	0.0953077376576081	297	0.0369283303216934	0.677713055658939	34677	0.0375401414475017
chromhmm.0.P2P.thurman	0.230564863321943	0.0804703928644099	297	0.0751247212893953	0.382870604980267	91591	0.0763693521705566
chromhmm.0.P2P.thurman.fantom	0.283432929403995	0.145016106393356	297	0.0784972804823606	0.524507352964851	95226	0.0797977863304843
chromhmm.0.thurman	0.192326840276921	0.0578231843919309	297	0.0672577378833658	0.446637459182021	77821	0.068372032301101
chromhmm.0.thurman.fantom	0.270338773723227	0.124217026331314	297	0.0718707541324217	0.480433059792275	82180	0.0730614748234306
chromhmm.dnase.0.E	0.131324310166839	0.0622421053431366	297	0.13593514166607	0.716728487306782	682284	0.138187250855279
chromhmm.dnase.0.E.fantom	0.316604326573533	0.134124315995093	297	0.139700048831992	0.749101658802548	686345	0.142014533223971
chromhmm.dnase.0.E.thurman	0.294307325331127	0.123320874122718	297	0.15599799472382	0.833791788718027	740795	0.158582495781528
chromhmm.dnase.0.E.thurman.fantom	0.359977876831922	0.190537440470259	297	0.156986417924761	0.840194180201246	742621	0.159587294710971
chromhmm.dnase.0.fantom	0.258048490743414	0.0771851269253832	297	0.0200024847425421	0.646694989334828	15475	0.0203338764573229
chromhmm.dnase.0.P2P	0.162055692278752	0.0276035042446894	297	0.0268800026791892	0.200721418685166	53363	0.0273253378610841
chromhmm.dnase.0.P2P.E	0.248806143608116	0.0859900175733875	297	0.139049975519116	0.370432886871283	688304	0.141353689803647
chromhmm.dnase.0.P2P.E.fantom	0.346388157869309	0.155886850460697	297	0.142024323661379	0.756226210437602	691938	0.144377315540365
chromhmm.dnase.0.P2P.E.thurman	0.333881862686923	0.144444601260835	297	0.157141599302797	0.777248763437526	744762	0.159745047060745
chromhmm.dnase.0.P2P.E.thurman.fantom	0.376160554613052	0.210061568608217	297	0.157990131648603	0.844711040861443	746464	0.160607637489471
chromhmm.dnase.0.P2P.fantom	0.300899637836033	0.102349813883396	297	0.0387650504047469	0.849585964116084	65208	0.0394072914409253
chromhmm.dnase.0.P2P.thurman	0.280100200697796	0.0913682736579457	297	0.0811205373226322	0.451235622686867	197752	0.0824645040504315
chromhmm.dnase.0.P2P.thurman.fantom	0.341851141524784	0.161075305162035	297	0.0846179002172856	0.626624158956844	203466	0.0860198096007993
chromhmm.dnase.0.thurman	0.225558157801016	0.0672682985280719	297	0.0720881395527331	0.515123523959796	162214	0.0732824617826574
chromhmm.dnase.0.thurman.fantom	0.318287992720462	0.138920116898389	297	0.0768435156891769	0.550639244295538	168878	0.0781166227437152
